Symbol,Name,매출총이익(천원),EBIT(천원),수정EPS(원),수정BPS(원),총자산(천원),총자본(천원),매출총이익/총자산,영업이익(EBIT)/총자본,PER,PBR,Price
A047050,포스코인터내셔널,1839533803.0,1163112035.0,3833.71,34858.6,16617748008.0,6624761980.0,0.1106969369203591,0.1755703885681339,16.27666151065156,1.7900891028325865,62400
A042660,한화오션,98808450.55,-196498300.37,794.92,14062.52,13944772692.39,4312157120.69,0.0070856981845191,-0.0455684463414352,31.57550445327832,1.7848863503838572,25100
A010130,고려아연,961945066.31,659935424.6,26130.23,451590.11,12046071311.65,9642002868.87,0.0798555015509233,0.0684438112677456,19.058385632273424,1.102769943301017,498000
A042700,한미반도체,79403949.12,34571410.99,2744.7,6183.21,723839103.74,571898625.12,0.1096983413989769,0.0604502432275404,22.479688126206874,9.978635692463946,61700
A009540,HD한국조선해양,1048027140.0,282260719.0,3132.7,140084.58,32242568184.0,12370102932.0,0.0325044560352382,0.0228179765804393,38.59290707696237,0.8630500230646372,120900
A010950,S-Oil,2105745000.0,1354582000.0,8137.3,77522.09,21576123000.0,9037565000.0,0.0975960787765253,0.1498835139774928,8.553205608739999,0.897808611713126,69600
A352820,하이브,1009009010.0,295643307.0,4504.26,70090.07,5345681487.0,3109914968.0,0.1887521754623387,0.0950647558026737,51.839813865096595,3.331427690113592,233500
A022100,포스코DX,188056760.87,110563784.59,604.33,3028.58,889807220.46,461449382.2,0.2113455100676538,0.2396011108799789,122.78060000330944,24.499930660573604,74200
A003490,대한항공,3261494229.23,1790089190.8,2873.21,25792.55,30391776029.65,9815208241.63,0.1073150258164613,0.1823791351881416,8.318222475906738,0.9266241608526492,23900
A010140,삼성중공업,645473765.04,233344768.05,-168.47,5010.27,15593389152.39,3409207598.06,0.0413940650574393,0.0684454558246274,-46.00225559446786,1.5468228259155692,7750
A326030,SK바이오팜,320809058.3,-37522197.05,-419.89,3622.46,723170577.18,320951194.56,0.4436146442115957,-0.1169093547118281,-239.11024315892257,27.715972019014703,100400
A005830,DB손해보험,14756207529.0,2234997557.48,24556.06,146737.87,60040428590.95,10303747263.2,0.2457711891021415,0.2169111392573001,3.4085272637385637,0.5704048995668263,83700
A086280,현대글로비스,2091468725.23,1554032510.09,28296.89,206809.82,14725019903.93,7783923620.25,0.1420350355296838,0.1996464233085689,6.767528162988937,0.9259715036742452,191500
A001570,금양,34711124.79,-14608343.49,-1039.73,3371.35,703467371.63,246535275.35,0.0493429065651915,-0.0592545771361153,-105.02726669423792,32.39058537381168,109200
A090430,아모레퍼시픽,2518898907.68,108171257.06,2608.26,70987.1,5886510888.7,4872705211.05,0.4279103454162272,0.0221994256526531,55.592617300422496,2.0426246458863653,145000
A161390,한국타이어앤테크놀로지,2895981551.02,1327945320.79,5814.06,77476.1,12763305688.36,9629553176.34,0.2268990198723442,0.1379031089472341,7.80865694540476,0.5859871624926912,45400
A066970,엘앤에프,-139635568.9,-222296651.9,-5372.4,30467.69,3351444610.58,1109988603.8,-0.0416642926036109,-0.2002693100982988,-37.97185615367434,6.695617554202501,204000
A000100,유한양행,565863818.15,56759795.06,1672.06,27867.4,2814070521.92,2101732643.46,0.2010837375048864,0.0270061918848815,41.146848797291966,2.468834552200779,68800
